日期,首例死亡日期,1月11日,2月1日,3月1日,4月1日,5月1日,6月1日,7月1日,8月1日,9月1日,10月1日,11月1日,12月1日
越南,2020年8月1日,0,0,0,0,0,0,0,2,34,35,35,35
澤西,2020年3月27日,0,0,0,2,20,29,31,31,32,32,32,32
波札那,2020年4月2日,0,0,0,0,1,1,1,2,6,16,24,31
新加坡,2020年3月22日,0,0,0,3,15,23,26,27,27,27,28,29
冰島,2020年3月21日,0,0,0,2,10,10,10,10,10,10,12,26
紐西蘭,2020年3月29日,0,0,0,1,19,22,22,22,22,25,25,25
曼島,2020年4月3日,0,0,0,0,22,24,24,24,24,24,24,25
荷屬聖馬丁,2020年4月3日,0,0,0,0,13,15,15,15,17,22,22,25
美屬維京群島,2020年4月7日,0,0,0,0,4,6,6,8,14,20,21,23
坦尚尼亞,2020年4月1日,0,0,0,1,17,21,21,21,21,21,21,21
聖多美普林西比,2020年5月1日,0,0,0,0,1,10,11,15,15,15,16,17
列支敦斯登,2020年4月5日,0,0,0,0,1,1,1,1,1,1,3,15
 其他,2020年2月20日,0,0,6,7,13,13,13,13,13,13,13,13
根西,2020年4月1日,0,0,0,1,13,13,13,13,13,13,13,13
法屬聖馬丁,2020年3月31日,0,0,0,2,3,3,3,3,5,8,9,12
模里西斯,2020年3月25日,0,0,0,5,10,10,10,10,10,10,10,10
百慕達,2020年4月8日,0,0,0,0,6,9,9,9,9,9,9,9
巴貝多,2020年4月7日,0,0,0,0,7,7,7,7,7,7,7,7
葛摩,2020年5月5日,0,0,0,0,0,2,7,7,7,7,7,7
巴布亞紐幾內亞,2020年7月30日,0,0,0,0,0,0,0,2,5,7,7,7
聖文森及格瑞那丁,2020年4月6日,0,0,0,0,1,1,2,2,3,6,6,6
直布羅陀,2020年11月13日,0,0,0,0,0,0,0,0,0,0,0,5
古拉索,2020年3月22日,0,0,0,1,1,1,1,1,1,1,1,4
安地卡及巴布達,2020年4月9日,0,0,0,0,3,3,3,3,3,3,3,4
汶萊,2020年3月28日,0,0,0,1,1,2,3,3,3,3,3,3
摩納哥,2020年4月17日,0,0,0,0,1,1,1,1,1,1,2,3
荷蘭加勒比區,2020年9月15日,0,0,0,0,0,0,0,0,0,1,3,3
開曼群島,2020年3月16日,0,0,0,1,1,1,1,1,1,1,1,2
北馬利安納群島,2020年4月3日,0,0,0,0,2,2,2,2,2,2,2,2
斐濟,2020年8月1日,0,0,0,0,0,0,0,1,2,2,2,2
聖露西亞,2020年11月11日,0,0,0,0,0,0,0,0,0,0,0,2
英屬維京群島,2020年4月20日,0,0,0,0,1,1,1,1,1,1,1,1
蒲隆地,2020年4月20日,0,0,0,0,1,1,1,1,1,1,1,1
蒙哲臘,2020年4月26日,0,0,0,0,1,1,1,1,1,1,1,1
